07-07 10:19 fdr_control  DEBUG    thresh 0.1220 | est fdr 11.6667 | true fdr 0.0000 | true power 0.0563
07-07 10:19 fdr_control  DEBUG    thresh 0.1217 | est fdr 10.5000 | true fdr 0.0000 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1205 | est fdr 10.6000 | true fdr 0.0000 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1202 | est fdr 10.7000 | true fdr 0.0000 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1201 | est fdr 10.8000 | true fdr 0.0000 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1197 | est fdr 10.9000 | true fdr 0.0000 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1180 | est fdr 11.0000 | true fdr 0.0000 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1175 | est fdr 11.1000 | true fdr 0.0000 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1168 | est fdr 11.2000 | true fdr 0.0000 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1167 | est fdr 11.3000 | true fdr 0.0000 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1164 | est fdr 11.4000 | true fdr 0.0000 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1160 | est fdr 11.5000 | true fdr 0.0000 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1157 | est fdr 10.4545 | true fdr 0.0909 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1156 | est fdr 10.5455 | true fdr 0.0909 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1145 | est fdr 10.6364 | true fdr 0.0909 | true power 0.0625
07-07 10:19 fdr_control  DEBUG    thresh 0.1140 | est fdr 9.7500 | true fdr 0.0833 | true power 0.0688
