06-28 07:41 __main__     INFO     configs
06-28 07:41 __main__     INFO     {'abs_selection': False,
 'abs_t_list': True,
 'control_type': 'type_3_global',
 'd': 40,
 'dag_control': 'None',
 'dagma_type': 'dagma_1',
 'device': 'cuda:7',
 'est_type': 'tau+',
 'fdr': 0.2,
 'graph_type': 'ER',
 'log_file': 'log_30/log_40',
 'n': 2000,
 'numeric': False,
 'numeric_precision': '1e-1',
 'root_path': 'simulated_data/v11',
 's0': 160,
 'seed_X': 1,
 'seed_knockoff_list': [1,
                        2,
                        3,
                        4,
                        5,
                        6,
                        7,
                        8,
                        9,
                        10],
 'seed_model_list': [0],
 'sem_type': 'gauss',
 'version': 40}

06-28 07:41 utils        DEBUG    load X with seed 1 in simulated_data/v11/v40/X
06-28 07:41 __main__     INFO     knockoff: 1 | model: 0
06-28 07:41 utils        DEBUG    load W with seed 1_0 in simulated_data/v11/v40/W
06-28 07:41 fdr_control  INFO     ==============================
06-28 07:41 fdr_control  INFO     expected FDR 0.2
06-28 07:41 fdr_control  DEBUG    thresh 1.0408 | est fdr 0.0116 | true fdr 0.0000 | true power 0.5375
06-28 07:41 fdr_control  DEBUG    thresh 1.0266 | est fdr 0.0115 | true fdr 0.0000 | true power 0.5437
06-28 07:41 fdr_control  DEBUG    thresh 1.0132 | est fdr 0.0114 | true fdr 0.0000 | true power 0.5500
06-28 07:41 fdr_control  DEBUG    thresh 1.0060 | est fdr 0.0112 | true fdr 0.0000 | true power 0.5563
06-28 07:41 fdr_control  DEBUG    thresh 0.9877 | est fdr 0.0111 | true fdr 0.0000 | true power 0.5625
06-28 07:41 fdr_control  DEBUG    thresh 0.9872 | est fdr 0.0110 | true fdr 0.0000 | true power 0.5687
06-28 07:41 fdr_control  DEBUG    thresh 0.9868 | est fdr 0.0109 | true fdr 0.0000 | true power 0.5750
06-28 07:41 fdr_control  DEBUG    thresh 0.9805 | est fdr 0.0108 | true fdr 0.0000 | true power 0.5813
06-28 07:41 fdr_control  DEBUG    thresh 0.9789 | est fdr 0.0106 | true fdr 0.0000 | true power 0.5875
06-28 07:41 fdr_control  DEBUG    thresh 0.9762 | est fdr 0.0105 | true fdr 0.0000 | true power 0.5938
06-28 07:41 fdr_control  DEBUG    thresh 0.9672 | est fdr 0.0104 | true fdr 0.0000 | true power 0.6000
06-28 07:41 fdr_control  DEBUG    thresh 0.9593 | est fdr 0.0103 | true fdr 0.0000 | true power 0.6062
06-28 07:41 fdr_control  DEBUG    thresh 0.9577 | est fdr 0.0102 | true fdr 0.0000 | true power 0.6125
06-28 07:41 fdr_control  DEBUG    thresh 0.9480 | est fdr 0.0101 | true fdr 0.0000 | true power 0.6188
06-28 07:41 fdr_control  DEBUG    thresh 0.9368 | est fdr 0.0100 | true fdr 0.0000 | true power 0.6250
06-28 07:41 fdr_control  DEBUG    thresh 0.9334 | est fdr 0.0099 | true fdr 0.0000 | true power 0.6312
06-28 07:41 fdr_control  DEBUG    thresh 0.9299 | est fdr 0.0098 | true fdr 0.0000 | true power 0.6375
06-28 07:41 fdr_control  DEBUG    thresh 0.9185 | est fdr 0.0097 | true fdr 0.0000 | true power 0.6438
06-28 07:41 fdr_control  DEBUG    thresh 0.9092 | est fdr 0.0096 | true fdr 0.0000 | true power 0.6500
06-28 07:41 fdr_control  DEBUG    thresh 0.8987 | est fdr 0.0095 | true fdr 0.0000 | true power 0.6562
06-28 07:41 fdr_control  DEBUG    thresh 0.8957 | est fdr 0.0094 | true fdr 0.0000 | true power 0.6625
06-28 07:41 fdr_control  DEBUG    thresh 0.8904 | est fdr 0.0093 | true fdr 0.0000 | true power 0.6687
06-28 07:41 fdr_control  DEBUG    thresh 0.8788 | est fdr 0.0093 | true fdr 0.0000 | true power 0.6750
06-28 07:41 fdr_control  DEBUG    thresh 0.8728 | est fdr 0.0092 | true fdr 0.0000 | true power 0.6813
06-28 07:41 fdr_control  DEBUG    thresh 0.8631 | est fdr 0.0091 | true fdr 0.0000 | true power 0.6875
06-28 07:41 fdr_control  DEBUG    thresh 0.8601 | est fdr 0.0090 | true fdr 0.0000 | true power 0.6937
06-28 07:41 fdr_control  DEBUG    thresh 0.8496 | est fdr 0.0089 | true fdr 0.0000 | true power 0.7000
06-28 07:41 fdr_control  DEBUG    thresh 0.8339 | est fdr 0.0088 | true fdr 0.0000 | true power 0.7063
06-28 07:41 fdr_control  DEBUG    thresh 0.8228 | est fdr 0.0088 | true fdr 0.0000 | true power 0.7125
06-28 07:41 fdr_control  DEBUG    thresh 0.8179 | est fdr 0.0087 | true fdr 0.0000 | true power 0.7188
06-28 07:41 fdr_control  DEBUG    thresh 0.8117 | est fdr 0.0086 | true fdr 0.0000 | true power 0.7250
06-28 07:41 fdr_control  DEBUG    thresh 0.8003 | est fdr 0.0085 | true fdr 0.0000 | true power 0.7312
06-28 07:41 fdr_control  DEBUG    thresh 0.7974 | est fdr 0.0085 | true fdr 0.0000 | true power 0.7375
06-28 07:41 fdr_control  DEBUG    thresh 0.7882 | est fdr 0.0084 | true fdr 0.0000 | true power 0.7438
06-28 07:41 fdr_control  DEBUG    thresh 0.7882 | est fdr 0.0083 | true fdr 0.0000 | true power 0.7500
06-28 07:41 fdr_control  DEBUG    thresh 0.7839 | est fdr 0.0083 | true fdr 0.0000 | true power 0.7562
06-28 07:41 fdr_control  DEBUG    thresh 0.7733 | est fdr 0.0082 | true fdr 0.0000 | true power 0.7625
06-28 07:41 fdr_control  DEBUG    thresh 0.7687 | est fdr 0.0081 | true fdr 0.0000 | true power 0.7688
06-28 07:41 fdr_control  DEBUG    thresh 0.7555 | est fdr 0.0081 | true fdr 0.0000 | true power 0.7750
06-28 07:41 fdr_control  DEBUG    thresh 0.7504 | est fdr 0.0080 | true fdr 0.0000 | true power 0.7812
06-28 07:41 fdr_control  DEBUG    thresh 0.7167 | est fdr 0.0079 | true fdr 0.0000 | true power 0.7875
06-28 07:41 fdr_control  DEBUG    thresh 0.7147 | est fdr 0.0079 | true fdr 0.0000 | true power 0.7937
06-28 07:41 fdr_control  DEBUG    thresh 0.7017 | est fdr 0.0078 | true fdr 0.0000 | true power 0.8000
06-28 07:41 fdr_control  DEBUG    thresh 0.6959 | est fdr 0.0078 | true fdr 0.0000 | true power 0.8063
06-28 07:41 fdr_control  DEBUG    thresh 0.6871 | est fdr 0.0077 | true fdr 0.0000 | true power 0.8125
06-28 07:41 fdr_control  DEBUG    thresh 0.6854 | est fdr 0.0076 | true fdr 0.0000 | true power 0.8187
